model,frame,checkpoint,regime,n_layers,kv_mean,attn_to_anchor_mean,I_kv,D_kv,B_kv,I_ent,D_ent,B_ent,override_count
Qwen/Qwen2.5-7B-Instruct,instruct,500,compliance,28,239.22744244337082,0.41250053686755045,0.9804689406820382,0.04177580504209554,0.1863221060974741,0.9582116261765414,0.06016094765765762,0.2517192827403556,0
Qwen/Qwen2.5-7B-Instruct,instruct,2000,compliance,28,255.43968680926733,0.36789399777938214,0.9692556978438932,0.052617108782557875,2.0536074299395546,0.9760998991712266,0.04560244747550709,1.3643793510269764,0
Qwen/Qwen2.5-7B-Instruct,instruct,8000,compliance,28,248.1708538702556,0.30387675050379975,0.9649455696810556,0.05620373141241818,2.7238344065839604,0.9824184405740813,0.03920580143396656,2.0094535451327,0
Qwen/Qwen2.5-7B-Instruct,instruct,16000,compliance,28,247.2648901428495,0.26470069539833013,0.9624202663846312,0.05823961626606903,3.1111577365808323,0.9827055616755656,0.03893292618650737,2.0377132104410416,0
Qwen/Qwen2.5-7B-Instruct,instruct,32000,compliance,28,247.5386014154979,0.2518536997262605,0.9609063779889125,0.05943685943228556,3.3414507394909334,0.983681355115238,0.03791602348715528,2.1390533035186756,0
meta-llama/Llama-3.1-8B-Instruct,instruct,500,compliance,32,291.04449105262756,0.73663688916713,0.9961936117248702,0.018281335435433966,3.1108772073806645,0.8957019944909747,0.09818912006354326,5.138830208238392,0
meta-llama/Llama-3.1-8B-Instruct,instruct,2000,compliance,32,384.6908288002014,0.5859395214356482,0.9884216648653806,0.032153602449817825,1.296243010482728,0.9302268527132869,0.07925626639498581,2.562162496448674,0
meta-llama/Llama-3.1-8B-Instruct,instruct,8000,compliance,32,357.60129618644714,0.597484767466085,0.9900953881061323,0.02969696367802015,1.643585358002679,0.9476388377637992,0.0683276061960892,1.1809801975435184,0
meta-llama/Llama-3.1-8B-Instruct,instruct,16000,compliance,32,343.7014434337616,0.5421860923233908,0.9906364032937663,0.028845409269070497,1.7605643283094243,0.9461215839635627,0.0694741059246821,1.3128274089003864,0
meta-llama/Llama-3.1-8B-Instruct,instruct,32000,compliance,32,333.01690566539764,0.5462713510351023,0.9915028626378224,0.027433602371314286,1.9518404781313978,0.9431521532603048,0.07162034945990418,1.565091510914923,0
mistralai/Mistral-7B-Instruct-v0.3,instruct,500,compliance,32,295.5137548446655,0.6693688239902258,0.9902921936481713,0.029303570565206844,1.6929833823750982,0.9729000767990139,0.04921688732853402,1.0155045032883974,1
mistralai/Mistral-7B-Instruct-v0.3,instruct,2000,compliance,32,402.1457223892212,0.5415891616139561,0.9792829562590251,0.04317420588724177,0.40442428957545845,0.971231481552696,0.050539531320931835,0.8668492927895941,0
mistralai/Mistral-7B-Instruct-v0.3,instruct,8000,compliance,32,378.21761083602905,0.5819606917211786,0.9841285818182356,0.037691087350608,0.4678277834633688,0.9715175451889757,0.05028263997850458,0.8941183679907324,0
mistralai/Mistral-7B-Instruct-v0.3,instruct,16000,compliance,32,371.53333485126495,0.6018278572009876,0.9856430862514068,0.035811027741003705,0.7540630593576307,0.9723196463973998,0.04954662480207437,0.9715086643348392,1
